time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.694489,6.6012e-05,5.80316,20000,32,8,500
0.695076,6.349e-05,5.79043,20000,64,8,500
0.695296,6.4153e-05,5.79088,20000,128,8,500
0.695327,6.3889e-05,4.40743,20000,1,16,500
0.695074,6.415e-05,3.76987,20000,2,16,500
0.694931,6.3167e-05,3.51675,20000,4,16,500
0.694817,6.3795e-05,3.5165,20000,8,16,500
0.695662,6.3951e-05,3.51771,20000,16,16,500
0.695775,6.377e-05,3.51201,20000,32,16,500
0.695696,6.3928e-05,3.51773,20000,64,16,500
0.696494,6.3311e-05,3.28428,20000,1,32,500
0.696241,6.3657e-05,3.11791,20000,2,32,500
0.695957,6.4294e-05,3.11201,20000,4,32,500
0.695282,6.3279e-05,3.10818,20000,8,32,500
0.69507,6.445e-05,3.1015,20000,16,32,500
0.69566,6.2959e-05,3.10407,20000,32,32,500
0.696146,6.4746e-05,3.0382,20000,1,64,500
0.695092,6.336e-05,3.04059,20000,2,64,500
0.695641,6.3561e-05,3.02713,20000,4,64,500
0.695365,6.354e-05,3.02391,20000,8,64,500
0.69521,6.4686e-05,3.03086,20000,16,64,500
0.695183,6.4234e-05,3.00162,20000,1,128,500
0.694921,6.2473e-05,2.9988,20000,2,128,500
0.695414,6.3626e-05,2.99688,20000,4,128,500
0.695573,6.2784e-05,3.00279,20000,8,128,500
0.695337,6.4252e-05,2.97611,20000,1,256,500
0.695366,6.3933e-05,2.98471,20000,2,256,500
0.695543,6.4221e-05,2.98856,20000,4,256,500
0.694978,6.4174e-05,2.95521,20000,1,512,500
0.695144,6.3249e-05,2.96351,20000,2,512,500
0.695466,6.3799e-05,2.94555,20000,1,1024,500
0.0457616,2.6728e-05,1.27348,5000,1,1,500
0.0457167,2.5515e-05,0.914441,5000,2,1,500
0.0457385,2.8354e-05,0.890946,5000,4,1,500
0.0456126,2.6535e-05,0.861754,5000,8,1,500
0.045703,2.7414e-05,0.862988,5000,16,1,500
0.0456895,3.2499e-05,0.887957,5000,32,1,500
0.0457295,2.621e-05,0.909674,5000,64,1,500
0.045655,2.6134e-05,0.930344,5000,128,1,500
0.0456772,2.663e-05,1.20288,5000,256,1,500
0.0457145,2.7536e-05,1.77778,5000,512,1,500
0.045653,2.6824e-05,2.674,5000,1024,1,500
0.0457259,3.1998e-05,1.10345,5000,1,2,500
0.0457504,2.6261e-05,0.855579,5000,2,2,500
0.0456853,2.5751e-05,0.84942,5000,4,2,500
0.0456495,2.7692e-05,0.817936,5000,8,2,500
0.045702,2.6831e-05,0.819476,5000,16,2,500
0.0456845,2.5788e-05,0.817667,5000,32,2,500
0.0457283,2.6315e-05,0.819623,5000,64,2,500
0.0457483,2.7243e-05,0.853954,5000,128,2,500
0.0456187,2.5453e-05,0.983478,5000,256,2,500
0.0456651,3.1327e-05,1.21454,5000,512,2,500
0.0456902,2.6077e-05,1.03279,5000,1,4,500
0.0456696,2.6533e-05,0.841423,5000,2,4,500
